EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-05-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, SAENTIS (STAID: 243).
Blended and updated with sources: 100755 906680 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100755,19020219,    0,    0
100755,19020220,    0,    0
100755,19020221,    2,    0
100755,19020222,    0,    0
100755,19020223,    0,    0
100755,19020224,    0,    0
100755,19020225,   11,    0
100755,19020226,   19,    0
100755,19020227,   15,    0
100755,19020228,    0,    0
100755,19020301,  153,    0
100755,19020302,   50,    0
100755,19020303,    0,    0
100755,19020304,    0,    0
100755,19020305,    0,    0
100755,19020306,    0,    0
100755,19020307,    0,    0
100755,19020308,   44,    0
100755,19020309,  273,    0
100755,19020310,   30,    0
100755,19020311,    0,    0
100755,19020312,    0,    0
100755,19020313,    0,    0
100755,19020314,    0,    0
100755,19020315,  230,    0
100755,19020316,   88,    0
100755,19020317,    6,    0
100755,19020318,    0,    0
100755,19020319,    0,    0
100755,19020320,    0,    0
100755,19020321,    0,    0
100755,19020322,   45,    0
100755,19020323,   59,    0
100755,19020324,   31,    0
100755,19020325,  144,    0
100755,19020326,   73,    0
100755,19020327,  476,    0
100755,19020328,  590,    0
100755,19020329,  577,    0
100755,19020330,  123,    0
100755,19020331,  409,    0
100755,19020401,    2,    0
100755,19020402,   71,    0
100755,19020403,  498,    0
100755,19020404,  382,    0
100755,19020405,    0,    0
100755,19020406,  166,    0
100755,19020407,    6,    0
100755,19020408,    0,    0
100755,19020409,    0,    0
100755,19020410,    7,    0
100755,19020411,    2,    0
100755,19020412,    0,    0
100755,19020413,   50,    0
100755,19020414,    0,    0
100755,19020415,    5,    0
100755,19020416,   19,    0
100755,19020417,    5,    0
100755,19020418,    0,    0
100755,19020419,    7,    0
100755,19020420,  136,    0
100755,19020421,    7,    0
100755,19020422,    0,    0
100755,19020423,    6,    0
100755,19020424,    0,    0
100755,19020425,   56,    0
100755,19020426,   40,    0
100755,19020427,    2,    0
100755,19020428,    1,    0
100755,19020429,   14,    0
100755,19020430,   63,    0
100755,19020501,  321,    0
100755,19020502,   45,    0
100755,19020503,  113,    0
100755,19020504,  293,    0
100755,19020505,  180,    0
100755,19020506,  177,    0
100755,19020507,   22,    0
100755,19020508,    7,    0
100755,19020509,   12,    0
100755,19020510,   16,    0
100755,19020511,   37,    0
100755,19020512,   39,    0
100755,19020513,   78,    0
100755,19020514,   57,    0
100755,19020515,   56,    0
100755,19020516,  337,    0
100755,19020517,  543,    0
100755,19020518,  121,    0
100755,19020519,  364,    0
100755,19020520,   63,    0
100755,19020521,   81,    0
100755,19020522,  309,    0
100755,19020523,    3,    0
100755,19020524,  161,    0
100755,19020525,    6,    0
100755,19020526,   35,    0
